VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	term	shortname	P_adjusted	significant_P_adj	tissue_name
Adipose_Tissue	COVAR	17342	-0.015236	-0.029914	0.0086032	0.96171	f680.3	Rent social housing	1	FALSE	Adipose Tissue
Adrenal_Gland	COVAR	17342	0.0037826	0.0073019	0.006641	0.28448	f680.3	Rent social housing	1	FALSE	Adrenal Gland
Bladder	COVAR	17342	-0.014675	-0.028606	0.010315	0.92259	f680.3	Rent social housing	1	FALSE	Bladder
Blood	COVAR	17342	-0.00069734	-0.0012527	0.0039407	0.57023	f680.3	Rent social housing	1	FALSE	Blood
Blood_Vessel	COVAR	17342	-0.0067311	-0.013658	0.0074984	0.81531	f680.3	Rent social housing	1	FALSE	Blood Vessel
Brain	COVAR	17342	0.01909	0.033154	0.0043727	6.373e-06	f680.3	Rent social housing	0.000165698	TRUE	Brain
Breast	COVAR	17342	-0.022582	-0.043424	0.010151	0.98694	f680.3	Rent social housing	1	FALSE	Breast
Cervix_Uteri	COVAR	17342	-0.0081516	-0.016014	0.0090763	0.81543	f680.3	Rent social housing	1	FALSE	Cervix Uteri
Colon	COVAR	17342	0.0041254	0.0077226	0.010103	0.34151	f680.3	Rent social housing	1	FALSE	Colon
Esophagus	COVAR	17342	-0.0066742	-0.012574	0.01095	0.7289	f680.3	Rent social housing	1	FALSE	Esophagus
Fallopian_Tube	COVAR	17342	-0.013778	-0.026727	0.00886	0.94003	f680.3	Rent social housing	1	FALSE	Fallopian Tube
Heart	COVAR	17342	0.0088096	0.015161	0.0060956	0.074204	f680.3	Rent social housing	1	FALSE	Heart
Kidney	COVAR	17342	-0.0028883	-0.0050825	0.0060246	0.68418	f680.3	Rent social housing	1	FALSE	Kidney
Liver	COVAR	17342	-0.0014974	-0.0026963	0.0041833	0.63981	f680.3	Rent social housing	1	FALSE	Liver
Lung	COVAR	17342	-0.013082	-0.02529	0.0067604	0.9735	f680.3	Rent social housing	1	FALSE	Lung
Muscle	COVAR	17342	0.0050988	0.0096457	0.0043641	0.12134	f680.3	Rent social housing	1	FALSE	Muscle
Nerve	COVAR	17342	-0.005693	-0.011457	0.0067012	0.8022	f680.3	Rent social housing	1	FALSE	Nerve
Ovary	COVAR	17342	0.0039178	0.007941	0.0065696	0.27548	f680.3	Rent social housing	1	FALSE	Ovary
Pancreas	COVAR	17342	0.0031398	0.0052505	0.0055729	0.28658	f680.3	Rent social housing	1	FALSE	Pancreas
Pituitary	COVAR	17342	0.010144	0.018907	0.0052851	0.027481	f680.3	Rent social housing	0.714506	FALSE	Pituitary
