VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	term	shortname	P_adjusted	significant_P_adj	tissue_name
Adipose_Subcutaneous	COVAR	17342	-0.024895	-0.049685	0.0068748	0.99985	Adipose_Subcutaneous	f680.3	Rent social housing	1	FALSE	Adipose Subcutaneous
Adipose_Visceral_Omentum	COVAR	17342	-0.012824	-0.024908	0.0071155	0.96424	Adipose_Visceral_Omentum	f680.3	Rent social housing	1	FALSE	Adipose Visceral Omentum
Adrenal_Gland	COVAR	17342	-0.0047607	-0.0091898	0.0064259	0.77061	Adrenal_Gland	f680.3	Rent social housing	1	FALSE	Adrenal Gland
Artery_Aorta	COVAR	17342	-0.014407	-0.0294	0.0065201	0.98643	Artery_Aorta	f680.3	Rent social housing	1	FALSE	Artery Aorta
Artery_Coronary	COVAR	17342	-0.017419	-0.034675	0.0075904	0.98912	Artery_Coronary	f680.3	Rent social housing	1	FALSE	Artery Coronary
Artery_Tibial	COVAR	17342	-0.013883	-0.028583	0.00638	0.98522	Artery_Tibial	f680.3	Rent social housing	1	FALSE	Artery Tibial
Bladder	COVAR	17342	-0.023296	-0.045409	0.0083278	0.99742	Bladder	f680.3	Rent social housing	1	FALSE	Bladder
Brain_Amygdala	COVAR	17342	0.017739	0.030221	0.0049862	0.00018766	Brain_Amygdala	f680.3	Rent social housing	0.00487916	TRUE	Brain Amygdala
Brain_Anterior_cingulate_cor...	COVAR	17342	0.018494	0.032667	0.0045904	2.816e-05	Brain_Anterior_cingulate_cortex_BA24	f680.3	Rent social housing	0.00073216	TRUE	Brain Anterior cingulate cortex BA24
Brain_Caudate_basal_ganglia	COVAR	17342	0.017024	0.029406	0.0050041	0.00033521	Brain_Caudate_basal_ganglia	f680.3	Rent social housing	0.00871546	TRUE	Brain Caudate basal ganglia
Brain_Cerebellar_Hemisphere	COVAR	17342	0.012676	0.025431	0.0038655	0.0005215	Brain_Cerebellar_Hemisphere	f680.3	Rent social housing	0.013559	TRUE	Brain Cerebellar Hemisphere
Brain_Cerebellum	COVAR	17342	0.012918	0.025639	0.0039891	0.00060244	Brain_Cerebellum	f680.3	Rent social housing	0.01566344	TRUE	Brain Cerebellum
Brain_Cortex	COVAR	17342	0.019972	0.036419	0.0045389	5.4445e-06	Brain_Cortex	f680.3	Rent social housing	0.000141557	TRUE	Brain Cortex
Brain_Frontal_Cortex_BA9	COVAR	17342	0.018153	0.033446	0.0043785	1.7008e-05	Brain_Frontal_Cortex_BA9	f680.3	Rent social housing	0.000442208	TRUE	Brain Frontal Cortex BA9
Brain_Hippocampus	COVAR	17342	0.018864	0.031943	0.0050664	9.8647e-05	Brain_Hippocampus	f680.3	Rent social housing	0.002564822	TRUE	Brain Hippocampus
Brain_Hypothalamus	COVAR	17342	0.017878	0.030771	0.0051382	0.00025187	Brain_Hypothalamus	f680.3	Rent social housing	0.00654862	TRUE	Brain Hypothalamus
Brain_Nucleus_accumbens_basa...	COVAR	17342	0.016358	0.02838	0.0048282	0.00035276	Brain_Nucleus_accumbens_basal_ganglia	f680.3	Rent social housing	0.00917176	TRUE	Brain Nucleus accumbens basal ganglia
Brain_Putamen_basal_ganglia	COVAR	17342	0.017904	0.030465	0.0050448	0.00019383	Brain_Putamen_basal_ganglia	f680.3	Rent social housing	0.00503958	TRUE	Brain Putamen basal ganglia
Brain_Spinal_cord_cervical_c...	COVAR	17342	0.0091179	0.016389	0.0054687	0.047738	Brain_Spinal_cord_cervical_c-1	f680.3	Rent social housing	1	FALSE	Brain Spinal cord cervical c-1
Brain_Substantia_nigra	COVAR	17342	0.014694	0.025294	0.0054456	0.0034877	Brain_Substantia_nigra	f680.3	Rent social housing	0.0906802	FALSE	Brain Substantia nigra
