Group	Trait
Anthropometric and Physical Traits	Body mass index
Anthropometric and Physical Traits	Body fat percentage
Anthropometric and Physical Traits	Height
Anthropometric and Physical Traits	Waist-hip ratio
Anthropometric and Physical Traits	Waist circumference
Anthropometric and Physical Traits	Weight
Anthropometric and Physical Traits	Hip circumference
Anthropometric and Physical Traits	Waist-to-hip ratio adjusted for BMI
Anthropometric and Physical Traits	Waist circumference adjusted for body mass index
Anthropometric and Physical Traits	Adult body size
Anthropometric and Physical Traits	Hip circumference adjusted for BMI
Anthropometric and Physical Traits	Waist-hip index
Anthropometric and Physical Traits	A body shape index
Anthropometric and Physical Traits	Predicted visceral adipose tissue
Anthropometric and Physical Traits	Body mass index in physically inactive individuals
Anthropometric and Physical Traits	BMI in non-smokers
Anthropometric and Physical Traits	Obesity
Anthropometric and Physical Traits	Body mass index (joint analysis main effects and physical activity interaction)
Anthropometric and Physical Traits	Body mass index in physically active individuals
Anthropometric and Physical Traits	Appendicular lean mass
Anthropometric and Physical Traits	Hand grip strength
Anthropometric and Physical Traits	Fat-free mass
Anthropometric and Physical Traits	Body mass index (joint analysis main effects and smoking interaction)
Anthropometric and Physical Traits	Childhood body mass index
Metabolic Traits	Type 2 diabetes
Metabolic Traits	Total cholesterol levels
Metabolic Traits	Low density lipoprotein cholesterol levels
Metabolic Traits	Triglyceride levels
Metabolic Traits	High density lipoprotein cholesterol levels
Metabolic Traits	Blood protein levels
Metabolic Traits	Triglycerides
Metabolic Traits	Serum metabolite ratios in chronic kidney disease
Metabolic Traits	Serum metabolite levels
Metabolic Traits	Urate levels
Metabolic Traits	Serum metabolite levels (CMS)
Metabolic Traits	HDL cholesterol levels
Metabolic Traits	Red cell distribution width
Metabolic Traits	HDL cholesterol
Metabolic Traits	LDL cholesterol levels
Metabolic Traits	LDL cholesterol
Metabolic Traits	Apolipoprotein A1 levels
Metabolic Traits	Total testosterone levels
Metabolic Traits	Non-HDL cholesterol levels
Metabolic Traits	Apolipoprotein B levels
Metabolic Traits	Serum uric acid levels
Metabolic Traits	Serum 25-Hydroxyvitamin D levels
Metabolic Traits	Sex hormone-binding globulin levels
Metabolic Traits	Glycated hemoglobin levels
Metabolic Traits	Metabolic syndrome
Metabolic Traits	Serum albumin levels
Cognitive and Personality Traits	Neuroticism
Cognitive and Personality Traits	Educational attainment
Cognitive and Personality Traits	Educational attainment (years of education)
Cognitive and Personality Traits	Intelligence (MTAG)
Cognitive and Personality Traits	General cognitive ability
Cognitive and Personality Traits	Intelligence
Cognitive and Personality Traits	Household income (MTAG)
Cognitive and Personality Traits	Educational attainment (MTAG)
Cognitive and Personality Traits	Highest math class taken (MTAG)
Cognitive and Personality Traits	Cognitive aspects of educational attainment
Cognitive and Personality Traits	General factor of neuroticism
Cognitive and Personality Traits	Externalizing behaviour (multivariate analysis)
Cognitive and Personality Traits	Cognitive performance (MTAG)
Cognitive and Personality Traits	Risk-taking behavior (multivariate analysis)
Cognitive and Personality Traits	Self-reported math ability
Cognitive and Personality Traits	Leisure sedentary behaviour (television watching)
Cognitive and Personality Traits	Self-reported math ability (MTAG)
Cognitive and Personality Traits	Household income
Cognitive and Personality Traits	Experiencing mood swings
Cognitive and Personality Traits	Neurociticism
Cognitive and Personality Traits	Cognitive ability, years of educational attainment or schizophrenia (pleiotropy)
Cognitive and Personality Traits	Cognitive performance
Cognitive and Personality Traits	Worry
Cognitive and Personality Traits	Morning person
Cognitive and Personality Traits	Highest math class taken
Behavioral Traits	Alcohol consumption (drinks per week)
Behavioral Traits	Sleep duration
Behavioral Traits	Daytime nap
Behavioral Traits	Alcohol consumption
Behavioral Traits	Fish- and plant-related diet
Behavioral Traits	Coffee consumption (cups per day)
Behavioral Traits	Coffee consumption
Behavioral Traits	Walking pace
Behavioral Traits	Smoking initiation (ever regular vs never regular)
Behavioral Traits	Alcohol consumption (drinks per week) (MTAG)
Behavioral Traits	Smoking initiation (ever regular vs never regular) (MTAG)
Behavioral Traits	Smoking status (ever vs never smokers)
Behavioral Traits	Smoking initiation
Behavioral Traits	Age of smoking initiation (MTAG)
Disease Related Traits	Inguinal hernia
Disease Related Traits	Breast cancer
Disease Related Traits	Coronary artery disease
Disease Related Traits	Endometriosis or asthma (pleiotropy)
Disease Related Traits	Alcohol use disorder (consumption score)
Disease Related Traits	Insomnia
Disease Related Traits	Alcohol use disorder
Disease Related Traits	Crohn's disease
Blood Related Traits	Red blood cell count
Blood Related Traits	Platelet count
Blood Related Traits	White blood cell count
Blood Related Traits	Metabolite levels
Blood Related Traits	Hematocrit
