Trait	n
Body mass index	1780
Insomnia	565
Type 2 diabetes	553
Total cholesterol levels	473
Low density lipoprotein cholesterol levels	453
Triglyceride levels	435
High density lipoprotein cholesterol levels	429
Inguinal hernia	388
Blood protein levels	373
Triglycerides	369
Serum metabolite ratios in chronic kidney disease	364
Neuroticism	343
Schizophrenia	318
Educational attainment	315
Educational attainment (years of education)	313
Body fat percentage	275
Intelligence (MTAG)	271
Height	267
General cognitive ability	250
Major depressive disorder or stress-related disorder	247
Systolic blood pressure	247
C-reactive protein levels	246
Serum metabolite levels	235
Waist-hip ratio	233
Alzheimer's disease	222
Sex hormone-binding globulin levels	213
Diastolic blood pressure	210
Intelligence	210
Breast cancer	196
Electrocardiogram morphology (amplitude at temporal datapoints)	189
Red blood cell count	186
Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy)	185
Platelet count	185
Urate levels	185
Serum metabolite levels (CMS)	183
Waist-to-hip ratio adjusted for BMI	178
Waist circumference	171
HDL cholesterol levels	168
Red cell distribution width	167
Alcohol consumption (drinks per week)	166
Waist circumference adjusted for body mass index	165
White blood cell count	164
Metabolite levels	159
Body mass index (joint analysis main effects and physical activity interaction)	152
Coronary artery disease	152
Heel bone mineral density	148
Household income (MTAG)	147
HDL cholesterol	142
Sleep duration	141
Body mass index in physically active individuals	136
Hip circumference adjusted for BMI	131
Educational attainment (MTAG)	130
Smoking initiation (ever regular vs never regular)	130
Brain morphology (MOSTest)	128
Appendicular lean mass	121
Alcohol consumption (drinks per week) (MTAG)	120
Depression	117
Fatty acid(20:4)_[M-H]1- levels	115
Hematocrit	115
Hip circumference	114
Neutrophil count	114
Estimated glomerular filtration rate	113
circulating leptin levels	112
Obesity	111
Alanine aminotransferase levels	110
Weight	110
Fatty acid(22:4)_[M-H]1- levels	109
Fatty acid(22:5)_[M-H]1- levels	109
Highest math class taken (MTAG)	108
Cerebral amyloid deposition (PET imaging)	107
Adult body size	106
Cognitive aspects of educational attainment	105
Mean corpuscular hemoglobin	105
Cortical surface area	104
Alzheimer's disease or educational attainment (pleiotropy)	103
Mean corpuscular volume	103
Brain region volumes	102
LDL cholesterol levels	102
Waist-hip index	101
Pulse pressure	100
Serum alkaline phosphatase levels	99
LDL cholesterol	98
Apolipoprotein A1 levels	97
Smoking initiation (ever regular vs never regular) (MTAG)	97
Eosinophil counts	96
General factor of neuroticism	95
Hand grip strength	92
Daytime nap	91
Smoking status (ever vs never smokers)	91
Total testosterone levels	91
Post bronchodilator FEV1	90
Schizophrenia (MTAG)	89
Externalizing behaviour (multivariate analysis)	87
Lung function (FVC)	87
Menarche (age at onset)	87
Endometriosis or asthma (pleiotropy)	86
Alcohol consumption	84
Cholesteryl ester(20:4)_[M+NH4]1+ levels	84
Cholesteryl ester(20:5)_[M+NH4]1+ levels	84
Fat-free mass	84
Lysophosphatidylcholine(20:4)_[M+H]1+ levels	84
Parkinson's disease	84
Phosphatidate(43:4)_[M-H]1- levels	84
Phosphatidylcholine-O(36:3)_M+H]1+/Phosphatidylcholine-P(36:2)_M+H]1+ levels	84
Phosphatidylcholine-O(36:5)_[M+H]1+/Phosphatidylcholine-P(36:4)_[M+H]1+ levels	84
Phosphatidylcholine-O(38:5)_[M+H]1+/Phosphatidylcholine-P(38:4)_[M+H]1+ levels	84
Phosphatidylcholine-O(40:5)_[M+H]1+/Phosphatidylcholine-P(40:4)_[M+H]1+ levels	84
Phosphatidylcholine(33:2)_[M+H]1+/Phosphatidylethanolamine(36:2)_[M+H]1+/Phosphatidate(38:3)_[M+NH4]1+ levels	84
Phosphatidylcholine(35:4)_[M+H]1+/Phosphatidylethanolamine(38:4)_[M+H]1+/Phosphatidate(40:5)_[M+NH4]1+ levels	84
Phosphatidylcholine(36:3)_[M+H]1+/Phosphatidylethanolamine(39:3)_[M+H]1+/Phosphatidate(41:4)_[M+NH4]1+ levels	84
Phosphatidylcholine(36:3)_[M+OAc]1-/Phosphatidylserine(40:2)_[M-H]1- levels	84
Phosphatidylcholine(36:5)_[M+OAc]1-/Phosphatidylserine(40:4)_[M-H]1- levels	84
Phosphatidylcholine(37:4)_[M+H]1+/Phosphatidylethanolamine(40:3)_[M+H]1+ levels	84
