term	n_SNPs	n_sig_SNPs	lambda_BOLT
f1558	19400443	4386	1.20845457092694
f924	19400443	843	1.1813013262707
f1190	19400443	9632	1.1995434356694
f1548	19400443	454	1.12220735481937
f1448.1	19400443	892	1.15478333521324
f1239	19400443	1384	1.15465804298095
f1070	19400443	3494	1.23820598082107
f20116.1	19400443	2138	1.14552489868024
f1538.1	19400443	0	1.0615109616604
f1110	19400443	834	1.14488744697213
f680.3	19400443	51	1.12854890026041
f6144.4	19400443	5	1.10038672341789
f1538.0	19400443	244	1.10215180521656
f1528	19400443	793	1.14657339683462
f1319	19400443	987	1.1569264918181
f884	19400443	346	1.11345008721551
f1488	19400443	3734	1.14335316665398
f680.4	19400443	156	1.05364173022922
f943	19400443	5	1.10072303414665
f1359	19400443	191	1.09985258284868
f1438	19400443	1669	1.13913279672441
f904	19400443	273	1.10204409785898
f1160	19400443	1849	1.1853854134213
f1448.2	19400443	3	1.03580627105811
f6146.100	19400443	67	1.07857268634442
PXS_T2D	19400443	3151	1.222592810191
