shortname	n
PXS for T2D onset	342
Alcohol intake	316
Time watching TV	243
Daytime Naps	184
Walking pace	166
Sleep duration	156
Tea intake	153
Water intake	107
Dried fruit intake	97
Moderate physical activity frequency	85
Current smoker	74
White bread consumption	71
Bread intake	67
Diet variety	48
Time using phone	43
Previous smoker	34
Stair climbing frequency	33
No recent dietary change	28
Never eat sugar	21
Vigorous physical activity frequency	15
Rent private housing	13
No disability benefits	9
Rent social housing	8
Poultry intake	4
Brown bread consumption	2
Illness-induced dietary change	1
