term	shortname	ldsc_h2	ldsc_h2_se	ldsc_lambda	ldsc_ratio	REML_h2	REML_h2_err
f1558	Alcohol intake	0.07	0.0033	1.4926	0.1607	0.121700166666667	0.00223783333333333
f924	Walking pace	0.0668	0.0025	1.4281	0.0997	0.105145166666667	0.002185
f1190	Daytime Naps	0.0765	0.0033	1.4926	0.1229	0.118967166666667	0.00222966666666667
f1548	Diet variety	0.0373	0.0021	1.2531	0.1356	0.06386	0.0020275
f1448.1	White bread consumption	0.0489	0.0024	1.3685	0.1332	0.089075	0.00218183333333333
f1239	Current smoker	0.0496	0.0026	1.3101	0.1052	0.0890755	0.00213066666666667
f1070	Time watching TV	0.0868	0.0034	1.5585	0.1294	0.143275833333333	0.0023945
f20116.1	Previous smoker	0.0478	0.0026	1.3101	0.1474	0.0835423333333333	0.00211566666666667
f1538.1	Illness-induced dietary change	0.0151	0.0015	1.1459	0.1847	0.0298605	0.0018525
f1110	Time using phone	0.0505	0.0024	1.3685	0.1301	0.0867251666666667	0.00215066666666667
f680.3	Rent social housing	0.0272	0.0019	1.2531	0.235	0.060419	0.00202616666666667
f6144.4	Never eat sugar	0.0331	0.0018	1.2531	0.0874	0.0558431666666667	0.00198916666666667
f1538.0	No recent dietary change	0.0288	0.002	1.2531	0.1561	0.0525708333333333	0.0019745
f1528	Water intake	0.055	0.003	1.3685	0.1403	0.0937655	0.0022955
f1319	Dried fruit intake	0.0555	0.0026	1.3685	0.1532	0.0936458333333333	0.00230483333333333
f884	Moderate physical activity frequency	0.0374	0.0023	1.2531	0.1331	0.0641675	0.00211566666666667
f1488	Tea intake	0.0519	0.003	1.3685	0.1263	0.086568	0.00217066666666667
f680.4	Rent private housing	0.0081	0.0012	1.0466		0.0126968333333333	0.0017415
f943	Stair climbing frequency	0.0328	0.002	1.2531	0.1337	0.054885	0.0019895
f1359	Poultry intake	0.0266	0.0018	1.2005	0.1569	0.0485625	0.001962
f1438	Bread intake	0.0452	0.0024	1.3101	0.1233	0.0769706666666667	0.00211966666666667
f904	Vigorous physical activity frequency	0.0326	0.0022	1.2531	0.174	0.060709	0.002098
f1160	Sleep duration	0.0647	0.0033	1.4281	0.1211	0.101706666666667	0.00218666666666667
f1448.2	Brown bread consumption	0.009	0.0014	1.0957	0.1449	0.0168085	0.0018015
f6146.100	No disability benefits	0.0213	0.0021	1.1459	0.1021	0.0386491666666667	0.001898
PXS_T2D	PXS for T2D onset	0.1085	0.0042	1.5585	0.1508	0.1854675	0.00320016666666667
