term	n_SNPs	n_sig_SNPs	lambda_BOLT
f1558	19400443	6868	1.20845457092694
f924	19400443	2722	1.1813013262707
f1190	19400443	12325	1.1995434356694
f1548	19400443	977	1.12220735481937
f1448.1	19400443	1756	1.15478333521324
f1239	19400443	3038	1.15465804298095
f1070	19400443	7054	1.23820598082107
f20116.1	19400443	2876	1.14552489868024
f1538.1	19400443	18	1.0615109616604
f1110	19400443	1699	1.14488744697213
f680.3	19400443	297	1.12854890026041
f6144.4	19400443	26	1.10038672341789
f1538.0	19400443	383	1.10215180521656
f1528	19400443	1549	1.14657339683462
f1319	19400443	2652	1.1569264918181
f884	19400443	1766	1.11345008721551
f1488	19400443	5269	1.14335316665398
f680.4	19400443	287	1.05364173022922
f943	19400443	227	1.10072303414665
f1359	19400443	449	1.09985258284868
f1438	19400443	2381	1.13913279672441
f904	19400443	1444	1.10204409785898
f1160	19400443	8778	1.1853854134213
f1448.2	19400443	14	1.03580627105811
f6146.100	19400443	92	1.07857268634442
PXS_T2D	19400443	6306	1.222592810191
