term	estimate	p.value	field	fieldID	value	fieldname	coding	Meaning	disease
f924	-0.430230808480179	3.36869126228998e-45	924	924	NA	Usual walking pace	100313	NA	T2D
f1558	0.165697677018478	1.80131584848092e-44	1558	1558	NA	Alcohol intake frequency.	100402	NA	T2D
sex	0.545161642765117	4.33944116604924e-43	sex	NA	NA	NA	NA	NA	T2D
age	-0.0350667365637048	3.56724563556981e-42	age	NA	NA	NA	NA	NA	T2D
f1190	0.22891566978228	1.12175809922977e-15	1190	1190	NA	Nap during day	100343	NA	T2D
f1548	0.221412451204446	8.83041280549231e-14	1548	1548	NA	Variation in diet	100401	NA	T2D
f1448.1	0.274781125287588	1.19114015796729e-12	1448.1	1448	1	Bread type	100391	White	T2D
f1239	0.188911682346783	2.76139791350756e-10	1239	1239	NA	Current tobacco smoking	100347	NA	T2D
f1070	0.159614855960577	5.77943871088899e-09	1070	1070	NA	Time spent watching television (TV)	100329	NA	T2D
f680.3	0.345522740830616	2.03313460128928e-08	680.3	680	3	Own or rent accommodation lived in	100287	Rent - from local authority, local council, housing association	T2D
f20116.1	0.214844042421324	3.67365482906774e-08	20116.1	20116	1	Smoking status	90	Previous	T2D
f1110	0.0710539796337072	1.91231052226135e-07	1110	1110	NA	Length of mobile phone use	100335	NA	T2D
f1538.1	0.280905552909743	3.07423440930401e-07	1538.1	1538	1	Major dietary changes in the last 5 years	100400	Yes, because of illness	T2D
f904	-0.0452570792937853	2.8341936011295e-06	904	904	NA	Number of days/week of vigorous physical activity 10+ minutes	100291	NA	T2D
f6144.4	0.203606035504957	5.08916829321887e-06	6144.4	6144	4	Never eat eggs, dairy, wheat, sugar	100385	Sugar or foods/drinks containing sugar	T2D
f1538.0	-0.182668855693874	8.53314064842131e-06	1538.0	1538	0	Major dietary changes in the last 5 years	100400	No	T2D
f680.4	0.388147011487891	2.93690015373387e-05	680.4	680	4	Own or rent accommodation lived in	100287	Rent - from private landlord or letting agency	T2D
f1319	-0.104158306418688	3.88039695287788e-05	1319	1319	NA	Dried fruit intake	100373	NA	T2D
f943	-0.0577222014342403	5.59825476672738e-05	943	943	NA	Frequency of stair climbing in last 4 weeks	100314	NA	T2D
f1528	0.0808433923336511	0.000150866804092934	1528	1528	NA	Water intake	100373	NA	T2D
f6146.3	0.384985610946156	0.000179553694218282	6146.3	6146	3	Attendance/disability/mobility allowance	100510	Blue badge	T2D
f1488	-0.0622472875019115	0.000262218267828612	1488	1488	NA	Tea intake	100373	NA	T2D
f1359	0.0705900665748405	0.00102306197024936	1359	1359	NA	Poultry intake	100377	NA	T2D
assessment_center	-0.0104781764205088	0.00190288056883187	assessment_center	NA	NA	NA	NA	NA	T2D
f1438	0.0523937537563184	0.00717208974325044	1438	1438	NA	Bread intake	100373	NA	T2D
pc17	-0.0227858744397961	0.0102202893522556	pc17	NA	NA	NA	NA	NA	T2D
f6162.4	-0.803505876257225	0.0115338121022142	6162.4	6162	4	Types of transport used (excluding work)	100299	Cycle	T2D
pc11	0.0150599228962926	0.0286168232413734	pc11	NA	NA	NA	NA	NA	T2D
f1160	-0.0314330380381443	0.0332373536656404	1160	1160	NA	Sleep duration	100291	NA	T2D
pc14	-0.0119610631830977	0.0353854728032131	pc14	NA	NA	NA	NA	NA	T2D
pc30	-0.00915992659796577	0.144872680476962	pc30	NA	NA	NA	NA	NA	T2D
pc27	0.00892284064352725	0.168095008941575	pc27	NA	NA	NA	NA	NA	T2D
pc36	0.00836372446631845	0.187837896671738	pc36	NA	NA	NA	NA	NA	T2D
pc8	-0.00927648572497516	0.202103364642511	pc8	NA	NA	NA	NA	NA	T2D
