term	estimate	p.value	field	fieldID	value	fieldname	coding	Meaning	disease
f924	-0.437571728517564	1.30973301441671e-50	924	924	NA	Usual walking pace	100313	NA	T2D
age	-0.0355001814077655	6.02644095019823e-47	age	NA	NA	NA	NA	NA	T2D
f1558	0.15991019128023	2.6694276332822e-44	1558	1558	NA	Alcohol intake frequency.	100402	NA	T2D
sex	0.508213189691682	4.35810142739169e-42	sex	NA	NA	NA	NA	NA	T2D
f1190	0.219576259462634	1.77771187829655e-15	1190	1190	NA	Nap during day	100343	NA	T2D
f680.3	0.430357677891277	6.55267839721148e-14	680.3	680	3	Own or rent accommodation lived in	100287	Rent - from local authority, local council, housing association	T2D
f1548	0.212491302181083	1.39330475301467e-13	1548	1548	NA	Variation in diet	100401	NA	T2D
f1448.1	0.239683059783682	1.47005235864557e-10	1448.1	1448	1	Bread type	100391	White	T2D
f1070	0.161024783070874	1.95473979975352e-09	1070	1070	NA	Time spent watching television (TV)	100329	NA	T2D
f1349	0.103746773805504	4.72211929485731e-09	1349	1349	NA	Processed meat intake	100377	NA	T2D
f1538.1	0.284680806559227	6.11848232839958e-08	1538.1	1538	1	Major dietary changes in the last 5 years	100400	Yes, because of illness	T2D
f1319	-0.126888970145081	2.28669015822451e-07	1319	1319	NA	Dried fruit intake	100373	NA	T2D
f1538.0	-0.198287296630474	5.54634438798438e-07	1538.0	1538	0	Major dietary changes in the last 5 years	100400	No	T2D
f1110	0.062766665589308	1.48974499900507e-06	1110	1110	NA	Length of mobile phone use	100335	NA	T2D
f6144.5	-0.175745936905234	7.72746139665155e-06	6144.5	6144	5	Never eat eggs, dairy, wheat, sugar	100385	I eat all of the above	T2D
f943	-0.0617217279734278	7.78596597007816e-06	943	943	NA	Frequency of stair climbing in last 4 weeks	100314	NA	T2D
f1528	0.086439987211392	2.60779160117071e-05	1528	1528	NA	Water intake	100373	NA	T2D
f680.4	0.376929064347998	3.27927811515669e-05	680.4	680	4	Own or rent accommodation lived in	100287	Rent - from private landlord or letting agency	T2D
f1379	0.0949201614150774	7.79264480602926e-05	1379	1379	NA	Lamb/mutton intake	100377	NA	T2D
f6146.3	0.365213637407741	0.000213851203574719	6146.3	6146	3	Attendance/disability/mobility allowance	100510	Blue badge	T2D
f1488	-0.05761663116708	0.000464499392819019	1488	1488	NA	Tea intake	100373	NA	T2D
f6164.4	0.138228047443257	0.0146322623483624	6164.4	6164	4	Types of physical activity in last 4 weeks	100316	Light DIY (eg: pruning, watering the lawn)	T2D
f1160	-0.0335597547714153	0.0176096626957944	1160	1160	NA	Sleep duration	100291	NA	T2D
pc14	-0.0134324530369331	0.0235928719702452	pc14	NA	NA	NA	NA	NA	T2D
pc17	-0.0174920547013652	0.0417849656265361	pc17	NA	NA	NA	NA	NA	T2D
pc13	0.015433962762119	0.13664082091612	pc13	NA	NA	NA	NA	NA	T2D
pc30	-0.00893197451228205	0.142240878361684	pc30	NA	NA	NA	NA	NA	T2D
pc36	0.00880794485542769	0.151881544458713	pc36	NA	NA	NA	NA	NA	T2D
pc10	-0.0121547858808065	0.166219377415884	pc10	NA	NA	NA	NA	NA	T2D
assessment_center.11018	-0.317134606365053	0.230782516551655	assessment_center.11018	NA	NA	NA	NA	NA	T2D
pc32	-0.0071676941096682	0.259747688556055	pc32	NA	NA	NA	NA	NA	T2D
pc8	-0.00742141549430328	0.2899214735705	pc8	NA	NA	NA	NA	NA	T2D
assessment_center.11014	-0.255744048814361	0.319940022137226	assessment_center.11014	NA	NA	NA	NA	NA	T2D
assessment_center.11001	0.246450527010738	0.343675668750968	assessment_center.11001	NA	NA	NA	NA	NA	T2D
assessment_center.11008	0.229790069298542	0.364495085972688	assessment_center.11008	NA	NA	NA	NA	NA	T2D
assessment_center.11011	-0.227450536277005	0.365227010737825	assessment_center.11011	NA	NA	NA	NA	NA	T2D
assessment_center.11020	-0.236252963857822	0.366251757183528	assessment_center.11020	NA	NA	NA	NA	NA	T2D
assessment_center.11002	-0.229223705127868	0.395049774819645	assessment_center.11002	NA	NA	NA	NA	NA	T2D
pc37	-0.00505311883948982	0.41305732886078	pc37	NA	NA	NA	NA	NA	T2D
pc27	0.00508599624736291	0.415639069788842	pc27	NA	NA	NA	NA	NA	T2D
pc20	-0.00488654832281205	0.424005061813884	pc20	NA	NA	NA	NA	NA	T2D
pc4	-0.00302109936465098	0.449102535229391	pc4	NA	NA	NA	NA	NA	T2D
pc33	0.00458052498706899	0.457707902090012	pc33	NA	NA	NA	NA	NA	T2D
pc29	0.00459061827961305	0.461521269299499	pc29	NA	NA	NA	NA	NA	T2D
assessment_center.11007	-0.188133082251558	0.463816925830237	assessment_center.11007	NA	NA	NA	NA	NA	T2D
pc31	0.00450274637284583	0.465792869552931	pc31	NA	NA	NA	NA	NA	T2D
assessment_center.11005	-0.195137553234584	0.47105814416958	assessment_center.11005	NA	NA	NA	NA	NA	T2D
pc15	-0.00684023357211396	0.483247554006659	pc15	NA	NA	NA	NA	NA	T2D
pc11	0.00472165027096721	0.503314109731038	pc11	NA	NA	NA	NA	NA	T2D
pc19	-0.00386681852282024	0.517384929930164	pc19	NA	NA	NA	NA	NA	T2D
assessment_center.11021	-0.161144887999972	0.530954770612703	assessment_center.11021	NA	NA	NA	NA	NA	T2D
pc24	-0.00409909824277678	0.538463587330449	pc24	NA	NA	NA	NA	NA	T2D
pc38	-0.00370443373573954	0.544572828700438	pc38	NA	NA	NA	NA	NA	T2D
pc35	-0.00327133517331496	0.599300569505314	pc35	NA	NA	NA	NA	NA	T2D
pc9	-0.00226613357180123	0.614341297310454	pc9	NA	NA	NA	NA	NA	T2D
assessment_center.11012	-0.134375019003232	0.632207350282673	assessment_center.11012	NA	NA	NA	NA	NA	T2D
pc25	0.00286464215664088	0.65184393649363	pc25	NA	NA	NA	NA	NA	T2D
pc5	-0.00127266100025705	0.661374870390881	pc5	NA	NA	NA	NA	NA	T2D
assessment_center.11013	-0.110972770272225	0.662206850650357	assessment_center.11013	NA	NA	NA	NA	NA	T2D
pc34	-0.00245341342657361	0.68924710171244	pc34	NA	NA	NA	NA	NA	T2D
pc22	0.00239839308343095	0.689536288605407	pc22	NA	NA	NA	NA	NA	T2D
assessment_center.11016	0.0978892250599999	0.697604637880801	assessment_center.11016	NA	NA	NA	NA	NA	T2D
assessment_center.11003	0.0965327330020139	0.699829953166669	assessment_center.11003	NA	NA	NA	NA	NA	T2D
pc2	0.00168416303290564	0.781110477048763	pc2	NA	NA	NA	NA	NA	T2D
assessment_center.11010	0.0685851116430119	0.785662697354738	assessment_center.11010	NA	NA	NA	NA	NA	T2D
assessment_center.11023	0.119718350796604	0.803482765181647	assessment_center.11023	NA	NA	NA	NA	NA	T2D
assessment_center.11017	-0.0513079896982669	0.842248881931762	assessment_center.11017	NA	NA	NA	NA	NA	T2D
pc12	-0.00170385030540002	0.8501700400838	pc12	NA	NA	NA	NA	NA	T2D
pc21	0.00113671000559518	0.855840841619853	pc21	NA	NA	NA	NA	NA	T2D
pc6	-0.00149374005276252	0.871772058955953	pc6	NA	NA	NA	NA	NA	T2D
assessment_center.11004	0.0385465760213474	0.88317883414736	assessment_center.11004	NA	NA	NA	NA	NA	T2D
pc28	-0.000771815374699867	0.901257550499328	pc28	NA	NA	NA	NA	NA	T2D
pc40	-0.000680624926758538	0.911964970276887	pc40	NA	NA	NA	NA	NA	T2D
pc23	0.000522447045076412	0.931243865505152	pc23	NA	NA	NA	NA	NA	T2D
pc7	-0.000412272339277843	0.946066008805244	pc7	NA	NA	NA	NA	NA	T2D
pc16	0.000411258673520383	0.946448400185268	pc16	NA	NA	NA	NA	NA	T2D
assessment_center.11009	0.0157025927010114	0.950697918133692	assessment_center.11009	NA	NA	NA	NA	NA	T2D
pc26	-0.000389516586676844	0.950752585605147	pc26	NA	NA	NA	NA	NA	T2D
pc18	0.000175411213946647	0.977531572416153	pc18	NA	NA	NA	NA	NA	T2D
pc3	0.000206011117940769	0.979321527084822	pc3	NA	NA	NA	NA	NA	T2D
pc1	-0.000110717300423072	0.984040640655837	pc1	NA	NA	NA	NA	NA	T2D
assessment_center.11006	-0.00358824832491847	0.988891954108081	assessment_center.11006	NA	NA	NA	NA	NA	T2D
pc39	4.32267487884777e-06	0.999442345220629	pc39	NA	NA	NA	NA	NA	T2D
assessment_center.11022	NA	NA	assessment_center.11022	NA	NA	NA	NA	NA	T2D
