term	estimate	p.value	field	fieldID	value	fieldname	coding	Meaning	disease
age	-0.0366895259543776	7.73768353476619e-44	age	NA	NA	NA	NA	NA	T2D
f1558	0.167364831796853	9.40940933996536e-44	1558	1558	NA	Alcohol intake frequency.	100402	NA	T2D
sex	0.543469472049412	3.23913844655325e-41	sex	NA	NA	NA	NA	NA	T2D
f924	-0.40277950317491	2.15551162404447e-38	924	924	NA	Usual walking pace	100313	NA	T2D
f1190	0.229583570240422	3.13202987094837e-15	1190	1190	NA	Nap during day	100343	NA	T2D
f1548	0.234739059397362	8.14624126063242e-15	1548	1548	NA	Variation in diet	100401	NA	T2D
f1448.1	0.277107692747392	2.03381292025166e-12	1448.1	1448	1	Bread type	100391	White	T2D
f1239	0.199089955651946	7.11191635559228e-11	1239	1239	NA	Current tobacco smoking	100347	NA	T2D
f1070	0.153887077559463	2.85977385081528e-08	1070	1070	NA	Time spent watching television (TV)	100329	NA	T2D
f1538.1	0.30303243678348	5.54081633989793e-08	1538.1	1538	1	Major dietary changes in the last 5 years	100400	Yes, because of illness	T2D
f20116.1	0.214744924941556	6.50406040356798e-08	20116.1	20116	1	Smoking status	90	Previous	T2D
f680.3	0.326898799929857	2.73168465062882e-07	680.3	680	3	Own or rent accommodation lived in	100287	Rent - from local authority, local council, housing association	T2D
f1110	0.066951230530642	1.30512219127519e-06	1110	1110	NA	Length of mobile phone use	100335	NA	T2D
f6144.4	0.213455074993975	2.5324499995553e-06	6144.4	6144	4	Never eat eggs, dairy, wheat, sugar	100385	Sugar or foods/drinks containing sugar	T2D
f1538.0	-0.185929271042534	8.72208525713762e-06	1538.0	1538	0	Major dietary changes in the last 5 years	100400	No	T2D
f1319	-0.107211890568701	3.2464493805064e-05	1319	1319	NA	Dried fruit intake	100373	NA	T2D
f1528	0.0890701465248902	4.20450963282845e-05	1528	1528	NA	Water intake	100373	NA	T2D
f884	-0.0337783758142483	0.000101860628183195	884	884	NA	Number of days/week of moderate physical activity 10+ minutes	100291	NA	T2D
