term	estimate	p.value	field	fieldID	value	fieldname	coding	Meaning	disease
f924	-0.437571728517559	1.30973301442079e-50	924	924	NA	Usual walking pace	100313	NA	T2D
age	-0.0355001814077662	6.02644095017791e-47	age	NA	NA	NA	NA	NA	T2D
f1558	0.159910191280234	2.66942763327062e-44	1558	1558	NA	Alcohol intake frequency.	100402	NA	T2D
sex	0.508213189691685	4.35810142738549e-42	sex	NA	NA	NA	NA	NA	T2D
f1190	0.219576259462621	1.77771187830571e-15	1190	1190	NA	Nap during day	100343	NA	T2D
f680.3	0.430357677891289	6.55267839720136e-14	680.3	680	3	Own or rent accommodation lived in	100287	Rent - from local authority, local council, housing association	T2D
f1548	0.212491302181091	1.39330475301208e-13	1548	1548	NA	Variation in diet	100401	NA	T2D
f1448.1	0.239683059783702	1.47005235864015e-10	1448.1	1448	1	Bread type	100391	White	T2D
f1070	0.161024783070891	1.95473979974672e-09	1070	1070	NA	Time spent watching television (TV)	100329	NA	T2D
f1349	0.103746773805505	4.72211929485552e-09	1349	1349	NA	Processed meat intake	100377	NA	T2D
f1538.1	0.284680806559247	6.11848232838564e-08	1538.1	1538	1	Major dietary changes in the last 5 years	100400	Yes, because of illness	T2D
f1319	-0.126888970145079	2.28669015822557e-07	1319	1319	NA	Dried fruit intake	100373	NA	T2D
f1538.0	-0.198287296630471	5.54634438798605e-07	1538.0	1538	0	Major dietary changes in the last 5 years	100400	No	T2D
f1110	0.0627666655893104	1.48974499900398e-06	1110	1110	NA	Length of mobile phone use	100335	NA	T2D
f6144.5	-0.175745936905226	7.72746139665954e-06	6144.5	6144	5	Never eat eggs, dairy, wheat, sugar	100385	I eat all of the above	T2D
f943	-0.0617217279734304	7.7859659700726e-06	943	943	NA	Frequency of stair climbing in last 4 weeks	100314	NA	T2D
f1528	0.0864399872113957	2.60779160116848e-05	1528	1528	NA	Water intake	100373	NA	T2D
f680.4	0.376929064348023	3.27927811515241e-05	680.4	680	4	Own or rent accommodation lived in	100287	Rent - from private landlord or letting agency	T2D
f1379	0.0949201614150819	7.79264480602377e-05	1379	1379	NA	Lamb/mutton intake	100377	NA	T2D
f6146.3	0.365213637407761	0.000213851203574538	6146.3	6146	3	Attendance/disability/mobility allowance	100510	Blue badge	T2D
f1488	-0.0576166311670811	0.000464499392818946	1488	1488	NA	Tea intake	100373	NA	T2D
assessment_center.11008	0.281098058996867	0.00648897376177451	assessment_center.11008	NA	NA	NA	NA	NA	T2D
assessment_center.11001	0.297758516709074	0.0127291588502825	assessment_center.11001	NA	NA	NA	NA	NA	T2D
f6164.4	0.138228047443277	0.0146322623483482	6164.4	6164	4	Types of physical activity in last 4 weeks	100316	Light DIY (eg: pruning, watering the lawn)	T2D
f1160	-0.0335597547714154	0.0176096626957941	1160	1160	NA	Sleep duration	100291	NA	T2D
pc14	-0.0134324530369336	0.0235928719702418	pc14	NA	NA	NA	NA	NA	T2D
pc17	-0.0174920547013655	0.0417849656265347	pc17	NA	NA	NA	NA	NA	T2D
assessment_center.11018	-0.265826616666736	0.0425286914518801	assessment_center.11018	NA	NA	NA	NA	NA	T2D
assessment_center.11014	-0.204436059116028	0.0650705563565265	assessment_center.11014	NA	NA	NA	NA	NA	T2D
assessment_center.11011	-0.176142546578701	0.094638086944392	assessment_center.11011	NA	NA	NA	NA	NA	T2D
assessment_center.11020	-0.184944974159504	0.136574482323173	assessment_center.11020	NA	NA	NA	NA	NA	T2D
pc13	0.015433962762119	0.136640820916123	pc13	NA	NA	NA	NA	NA	T2D
assessment_center.11016	0.149197214758325	0.140382844756242	assessment_center.11016	NA	NA	NA	NA	NA	T2D
pc30	-0.00893197451228321	0.142240878361627	pc30	NA	NA	NA	NA	NA	T2D
pc36	0.00880794485542714	0.151881544458742	pc36	NA	NA	NA	NA	NA	T2D
pc10	-0.0121547858808065	0.166219377415887	pc10	NA	NA	NA	NA	NA	T2D
assessment_center.11002	-0.177915715429543	0.20604245240868	assessment_center.11002	NA	NA	NA	NA	NA	T2D
assessment_center.11003	0.147840722700232	0.21778068354621	assessment_center.11003	NA	NA	NA	NA	NA	T2D
assessment_center.11010	0.119893101341339	0.220534688843585	assessment_center.11010	NA	NA	NA	NA	NA	T2D
assessment_center.11007	-0.136825092553235	0.23165197256518	assessment_center.11007	NA	NA	NA	NA	NA	T2D
pc32	-0.00716769410966753	0.259747688556105	pc32	NA	NA	NA	NA	NA	T2D
pc8	-0.00742141549430433	0.289921473570437	pc8	NA	NA	NA	NA	NA	T2D
assessment_center.11005	-0.143829563536237	0.293337081587	assessment_center.11005	NA	NA	NA	NA	NA	T2D
assessment_center.11021	-0.109836898301656	0.344240113549513	assessment_center.11021	NA	NA	NA	NA	NA	T2D
pc37	-0.00505311883948959	0.413057328860804	pc37	NA	NA	NA	NA	NA	T2D
pc27	0.00508599624736283	0.415639069788853	pc27	NA	NA	NA	NA	NA	T2D
pc20	-0.00488654832281083	0.424005061814	pc20	NA	NA	NA	NA	NA	T2D
pc4	-0.00302109936465082	0.449102535229434	pc4	NA	NA	NA	NA	NA	T2D
assessment_center.11004	0.0898545657196847	0.453722442114284	assessment_center.11004	NA	NA	NA	NA	NA	T2D
pc33	0.00458052498706937	0.457707902089981	pc33	NA	NA	NA	NA	NA	T2D
pc29	0.00459061827961343	0.461521269299468	pc29	NA	NA	NA	NA	NA	T2D
pc31	0.0045027463728459	0.465792869552926	pc31	NA	NA	NA	NA	NA	T2D
pc15	-0.00684023357211231	0.483247554006765	pc15	NA	NA	NA	NA	NA	T2D
assessment_center.11009	0.0670105823993567	0.491384226630946	assessment_center.11009	NA	NA	NA	NA	NA	T2D
pc11	0.00472165027096781	0.503314109730995	pc11	NA	NA	NA	NA	NA	T2D
pc19	-0.00386681852282038	0.517384929930152	pc19	NA	NA	NA	NA	NA	T2D
pc24	-0.00409909824277705	0.538463587330425	pc24	NA	NA	NA	NA	NA	T2D
pc38	-0.00370443373573947	0.544572828700442	pc38	NA	NA	NA	NA	NA	T2D
assessment_center.11013	-0.0596647805738944	0.566693320476039	assessment_center.11013	NA	NA	NA	NA	NA	T2D
pc35	-0.00327133517331422	0.5993005695054	pc35	NA	NA	NA	NA	NA	T2D
assessment_center.11012	-0.0830670293049086	0.605473314232486	assessment_center.11012	NA	NA	NA	NA	NA	T2D
pc9	-0.0022661335718116	0.614341297308815	pc9	NA	NA	NA	NA	NA	T2D
pc25	0.00286464215664193	0.651843936493511	pc25	NA	NA	NA	NA	NA	T2D
pc5	-0.00127266100025628	0.661374870391075	pc5	NA	NA	NA	NA	NA	T2D
assessment_center.11006	0.0477197413734132	0.675651189758337	assessment_center.11006	NA	NA	NA	NA	NA	T2D
assessment_center.11023	0.171026340494902	0.6864800915217	assessment_center.11023	NA	NA	NA	NA	NA	T2D
pc34	-0.00245341342657443	0.689247101712346	pc34	NA	NA	NA	NA	NA	T2D
pc22	0.00239839308343052	0.689536288605459	pc22	NA	NA	NA	NA	NA	T2D
pc2	0.00168416303290536	0.781110477048802	pc2	NA	NA	NA	NA	NA	T2D
assessment_center.11022	0.0513079896955812	0.842248881939956	assessment_center.11022	NA	NA	NA	NA	NA	T2D
pc12	-0.00170385030539896	0.850170040083896	pc12	NA	NA	NA	NA	NA	T2D
pc21	0.00113671000559648	0.85584084161969	pc21	NA	NA	NA	NA	NA	T2D
pc6	-0.00149374005276191	0.871772058956008	pc6	NA	NA	NA	NA	NA	T2D
pc28	-0.000771815374700219	0.901257550499285	pc28	NA	NA	NA	NA	NA	T2D
pc40	-0.000680624926758581	0.911964970276882	pc40	NA	NA	NA	NA	NA	T2D
pc23	0.000522447045075789	0.931243865505234	pc23	NA	NA	NA	NA	NA	T2D
pc7	-0.000412272339277054	0.946066008805349	pc7	NA	NA	NA	NA	NA	T2D
pc16	0.000411258673528148	0.946448400184257	pc16	NA	NA	NA	NA	NA	T2D
pc26	-0.000389516586676275	0.950752585605219	pc26	NA	NA	NA	NA	NA	T2D
pc18	0.000175411213944958	0.977531572416369	pc18	NA	NA	NA	NA	NA	T2D
pc3	0.000206011117940925	0.979321527084807	pc3	NA	NA	NA	NA	NA	T2D
pc1	-0.000110717300423384	0.984040640655793	pc1	NA	NA	NA	NA	NA	T2D
pc39	4.32267487879442e-06	0.999442345220635	pc39	NA	NA	NA	NA	NA	T2D
