estimate	p.value	Field	FieldID	Value	FieldName	Coding	Meaning
0.194108730606469	1.82352247128701e-53	1558	1558	NA	Alcohol intake frequency.	100402	NA
-0.472532104422383	2.12638567436214e-49	924	924	NA	Usual walking pace	100313	NA
-0.0400993159628698	1.98475027883287e-44	age	NA	NA	NA	NA	NA
0.537067692952072	2.89098481000981e-39	sex	NA	NA	NA	NA	NA
0.246450988655167	2.97775455900764e-16	1190	1190	NA	Nap during day	100343	NA
0.236242863587741	6.93813449226895e-14	1548	1548	NA	Variation in diet	100401	NA
0.130928537788789	1.48492055856831e-09	680	680	NA	Own or rent accommodation lived in	100287	NA
-0.0886868550257444	1.76955170981934e-09	1249	1249	NA	Past tobacco smoking	100348	NA
0.173667000954625	1.98165285803529e-09	1070	1070	NA	Time spent watching television (TV)	100329	NA
-0.118190617545603	6.2177681829537e-09	1448	1448	NA	Bread type	100391	NA
-0.242067722555718	9.92951604940735e-09	6144.5	6144	5	Never eat eggs, dairy, wheat, sugar	100385	I eat all of the above
0.0947193522186807	1.15308561995787e-06	1349	1349	NA	Processed meat intake	100377	NA
0.0990580820294167	2.10963898285093e-06	1538	1538	NA	Major dietary changes in the last 5 years	100400	NA
0.0565731163019846	6.88890178152229e-05	1110	1110	NA	Length of mobile phone use	100335	NA
0.413736382140254	9.04505674034129e-05	6146.3	6146	3	Attendance/disability/mobility allowance	100510	Blue badge
0.0850514967007396	0.000150986251511679	1528	1528	NA	Water intake	100373	NA
-0.097817927539703	0.000194823200969178	1319	1319	NA	Dried fruit intake	100373	NA
-0.0821933345240193	0.000286280666530881	1458	1458	NA	Cereal intake	100373	NA
-0.0526118919438617	0.000429716017182154	943	943	NA	Frequency of stair climbing in last 4 weeks	100314	NA
0.0867595412848812	0.00100332778913499	1379	1379	NA	Lamb/mutton intake	100377	NA
-0.0582546392554928	0.00157946340317286	1488	1488	NA	Tea intake	100373	NA
0.190165469077099	0.00236127802713345	6164.4	6164	4	Types of physical activity in last 4 weeks	100316	Light DIY (eg: pruning, watering the lawn)
-0.0423302454414904	0.00759399041674134	1160	1160	NA	Sleep duration	100291	NA
-0.024021110800164	0.0105637215882588	pc17	NA	NA	NA	NA	NA
-0.777845185382887	0.0142484308488675	6162.4	6162	4	Types of transport used (excluding work)	100299	Cycle
-0.00829986676619383	0.0198045295098739	assessment_center	NA	NA	NA	NA	NA
0.0131564502210636	0.0487390690595989	pc36	NA	NA	NA	NA	NA
0.0142288586931206	0.0494150653131446	pc11	NA	NA	NA	NA	NA
0.0170492638173476	0.132909124486827	pc13	NA	NA	NA	NA	NA
0.00877102529244607	0.190253041240438	pc33	NA	NA	NA	NA	NA
-0.00785746250696541	0.234498512210703	pc30	NA	NA	NA	NA	NA
-0.00717783450255273	0.269425318267239	pc19	NA	NA	NA	NA	NA
0.00698753669354572	0.304602693425905	pc27	NA	NA	NA	NA	NA
-0.00792592243061018	0.306921929665429	pc8	NA	NA	NA	NA	NA
-0.00534780814400231	0.371766282914688	pc14	NA	NA	NA	NA	NA
0.0060364473280423	0.377694068701333	pc26	NA	NA	NA	NA	NA
-0.0055749857199485	0.415745375565286	pc32	NA	NA	NA	NA	NA
-0.00515984043128774	0.446642483816518	pc35	NA	NA	NA	NA	NA
-0.00696740070193157	0.474637942007868	pc12	NA	NA	NA	NA	NA
-0.00451532440775279	0.499480272112647	pc34	NA	NA	NA	NA	NA
-0.00701560340113604	0.508526239144658	pc15	NA	NA	NA	NA	NA
0.00422728870458679	0.5382391450125	pc25	NA	NA	NA	NA	NA
0.00396580812606604	0.555719256121247	pc21	NA	NA	NA	NA	NA
0.00364287000149232	0.558738116789321	pc16	NA	NA	NA	NA	NA
0.00353321346726938	0.575737387805931	pc18	NA	NA	NA	NA	NA
0.00366954882472645	0.588992669129571	pc29	NA	NA	NA	NA	NA
-0.00379305730764043	0.601889644917797	pc24	NA	NA	NA	NA	NA
-0.00351305722743495	0.601912101794312	pc1	NA	NA	NA	NA	NA
-0.00326093261753734	0.624943280191178	pc38	NA	NA	NA	NA	NA
-0.00217458359952852	0.625551620158837	pc4	NA	NA	NA	NA	NA
0.00288611760456887	0.668260014262197	pc39	NA	NA	NA	NA	NA
-0.00276153032768357	0.671016707259447	pc20	NA	NA	NA	NA	NA
0.00282866496319934	0.673291384357083	pc31	NA	NA	NA	NA	NA
0.00223812288480509	0.738361459943226	pc7	NA	NA	NA	NA	NA
-0.00164925445934115	0.804739214608607	pc40	NA	NA	NA	NA	NA
0.0022228618924115	0.805353699638002	pc3	NA	NA	NA	NA	NA
-0.00125164776592133	0.852027569380002	pc37	NA	NA	NA	NA	NA
-0.000481669122299205	0.86560709521136	pc5	NA	NA	NA	NA	NA
0.000575736647881936	0.929985917574526	pc23	NA	NA	NA	NA	NA
-0.000307595888812453	0.940041232923744	pc9	NA	NA	NA	NA	NA
0.000533869866340505	0.940350603676586	pc2	NA	NA	NA	NA	NA
-0.000470232692850375	0.942605309729194	pc22	NA	NA	NA	NA	NA
-0.000351247138039919	0.958434573336497	pc28	NA	NA	NA	NA	NA
-0.000272863073329409	0.977290071922486	pc10	NA	NA	NA	NA	NA
0.000229125233143813	0.982173305029782	pc6	NA	NA	NA	NA	NA
