phenotypes,gene,chromosome,start,end,minP,T2D:pValue,T2D:zStat,T2D:nParam,T2D:subjects,chiSquared
["T2D"],"TCF7L2","10",114710006,114927437,1.8764371704540776e-280,1.8764371704540776e-280,35.76584233918319,,879343,1.8764371704541434e-280
["T2D"],"KCNQ1","11",2465914,2870335,2.685225059813816e-200,2.685225059813816e-200,30.17291088297763,,955748,2.6852250598138525e-200
["T2D"],"CDKAL1","6",20534688,21232635,1.4300647234549365e-191,1.4300647234549365e-191,29.500222064856217,,1033773,1.430064723454963e-191
["T2D"],"IGF2BP2","3",185360918,185542830,1.6809949982293043e-138,1.6809949982293043e-138,25.02386851339534,,886144,1.6809949982293088e-138
["T2D"],"HNF1B","17",36046434,36105050,2.5250651478137927e-105,2.5250651478137927e-105,21.764367905677187,,1078120,2.525065147813824e-105
["T2D"],"FTO","16",53735604,54192424,3.5223875040313395e-80,3.5223875040313395e-80,18.92540366864805,,1079008,3.522387504031342e-80
["T2D"],"CDC123","10",12237964,12292588,4.443737551869646e-74,4.443737551869646e-74,18.17019941593904,,971821,4.4437375518696035e-74
["T2D"],"IDE","10",94211441,94333853,1.6337143465080285e-73,1.6337143465080285e-73,18.098621571569318,,910487,1.63371434650804e-73
["T2D"],"UBE2E2","3",23244511,23633285,2.3428282025797954e-54,2.3428282025797954e-54,15.480670232163195,,1076458,2.3428282025797885e-54
["T2D"],"WFS1","4",6271576,6304992,2.390096702654111e-54,2.390096702654111e-54,15.479385179001811,,922995,2.3900967026541256e-54
["T2D"],"GPSM1","9",139221932,139254057,1.6064730246719365e-53,1.6064730246719365e-53,15.356321599106968,,837674,1.6064730246719286e-53
["T2D"],"UBE2E2-AS1","3",23236420,23244194,1.9819283859388345e-44,1.9819283859388345e-44,13.933510136876869,,1035416,1.9819283859388265e-44
["T2D"],"KIF11","10",94333862,94415152,2.8080964444884815e-43,2.8080964444884815e-43,13.74292277966971,,896602,2.808096444488499e-43
["T2D"],"NKX6-3","8",41502696,41508336,3.6004699583067435e-43,3.6004699583067435e-43,13.724919166010837,,893529,3.600469958306735e-43
["T2D"],"ANK1","8",41510739,41754259,1.492575029597548e-42,1.492575029597548e-42,13.621465913968741,,952800,1.4925750295975485e-42
["T2D"],"HNF4A","20",42984339,43061485,1.5589117870412952e-42,1.5589117870412952e-42,13.61829008214959,,1049435,1.5589117870412914e-42
["T2D"],"KCNJ11","11",17386719,17410878,4.1378830380795006e-42,4.1378830380795006e-42,13.546802112389756,,1071885,4.1378830380795254e-42
["T2D"],"ZMIZ1","10",80828723,81076276,1.0272977559388119e-41,1.0272977559388119e-41,13.479873228985817,,1003539,1.0272977559388154e-41
["T2D"],"GIPR","19",46171479,46186980,1.4162299895997917e-40,1.4162299895997917e-40,13.284897510397153,,922351,1.416229989599797e-40
["T2D"],"HMGA2","12",66218240,66360071,8.21662935418298e-39,8.21662935418298e-39,12.977415561872753,,918283,8.216629354182927e-39
["T2D"],"JAZF1","7",27870192,28220414,6.539689627184395e-38,6.539689627184395e-38,12.81753442070859,,1002723,6.539689627184362e-38
["T2D"],"C5orf67","5",55807394,55902059,1.3784527746726135e-37,1.3784527746726135e-37,12.759577997772022,,1035188,1.3784527746726101e-37
["T2D"],"ARAP1","11",72396114,72504644,2.1913133106596585e-37,2.1913133106596585e-37,12.723417783075218,,1134887,2.191313310659674e-37
["T2D"],"DUSP9","X",152907946,152916781,6.151811374355215e-37,6.151811374355215e-37,12.642526294875825,,307352,6.1518113743551936e-37
["T2D"],"CCND2","12",4378937,4414519,7.0470230466668794e-37,7.0470230466668794e-37,12.631841677543195,,1032411,7.047023046666875e-37
["T2D"],"NCR3LG1","11",17373347,17398888,9.861922471676285e-37,9.861922471676285e-37,12.605372528763876,,1010961,9.861922471676343e-37
["T2D"],"PEAK1","15",77392998,77712486,1.3523394720901074e-36,1.3523394720901074e-36,12.580454903766078,,912549,1.3523394720901088e-36
["T2D"],"ADCY5","3",123001143,123167937,2.104052854225602e-36,2.104052854225602e-36,12.545488630788432,,958148,2.1040528542255937e-36
["T2D"],"COBLL1","2",165510134,165700189,3.5801947290408997e-36,3.5801947290408997e-36,12.503312887077376,,1019287,3.580194729040879e-36
["T2D"],"MACF1","1",39546988,39952849,3.88440969648817e-36,3.88440969648817e-36,12.49682959515571,,863417,3.884409696488192e-36
["T2D"],"THADA","2",43457990,43823177,2.135525692732425e-34,2.135525692732425e-34,12.174094989227074,,893155,2.1355256927324303e-34
["T2D"],"SNRPD2","19",46190718,46195827,1.2251164370505511e-33,1.2251164370505511e-33,12.0307170973449,,935073,1.2251164370505436e-33
["T2D"],"AUTS2","7",69063282,70258492,2.086154362883031e-33,2.086154362883031e-33,11.986693231242812,,995102,2.0861543628830304e-33
["T2D"],"ST6GAL1","3",186648114,186796341,7.439537956223117e-33,7.439537956223117e-33,11.880881046389458,,1119529,7.439537956223118e-33
["T2D"],"PRC1","15",91509270,91538859,1.0168857815863318e-32,1.0168857815863318e-32,11.854730643125912,,1005465,1.0168857815863359e-32
["T2D"],"PSMD6","3",63996226,64009686,1.1995307125624303e-32,1.1995307125624303e-32,11.840885624891708,,968317,1.1995307125624369e-32
["T2D"],"GCKR","2",27719706,27746551,3.736280503749562e-32,3.736280503749562e-32,11.745222449658458,,920067,3.736280503749547e-32
["T2D"],"AP3S2","15",90373831,90437870,4.420270462351835e-32,4.420270462351835e-32,11.731002460912569,,1047933,4.420270462351827e-32
["T2D"],"UBE3C","7",156931610,157062064,5.04933602434794e-32,5.04933602434794e-32,11.719735568917315,,999623,5.049336024347956e-32
["T2D"],"C12orf43","12",121438289,121454305,7.360830627426658e-32,7.360830627426658e-32,11.687760980069825,,1176788,7.360830627426644e-32
["T2D"],"PABPC4","1",40026381,40042462,1.0967414237295692e-31,1.0967414237295692e-31,11.653839534370293,,951138,1.0967414237295734e-31
["T2D"],"C15orf38-AP3S2","15",90377540,90456114,1.1654525366034734e-31,1.1654525366034734e-31,11.64866172687892,,1081643,1.1654525366034784e-31
["T2D"],"PPARG","3",12328867,12475855,1.8667074992745458e-31,1.8667074992745458e-31,11.60844540352682,,1021945,1.8667074992745485e-31
["T2D"],"FAF1","1",50902700,51425939,2.9170793927968686e-31,2.9170793927968686e-31,11.570207228586659,,868730,2.917079392796877e-31
["T2D"],"CCHCR1","6",31110216,31126015,2.995127975550235e-31,2.995127975550235e-31,11.56794161590722,,1167138,2.9951279755502486e-31
["T2D"],"ATXN7","3",63848831,63989138,5.989276665928357e-31,5.989276665928357e-31,11.508322657921392,,834203,5.989276665928401e-31
["T2D"],"MAEA","4",1283675,1333935,1.5752121429860742e-30,1.5752121429860742e-30,11.424616741355447,,960709,1.575212142986065e-30
["T2D"],"POU5F1","6",31132114,31148508,7.207089090748711e-30,7.207089090748711e-30,11.291747622147934,,1210955,7.207089090748722e-30
["T2D"],"OASL","12",121455566,121477049,4.576665066647617e-29,4.576665066647617e-29,11.128132267392008,,1115401,4.5766650666476247e-29
["T2D"],"HMG20A","15",77712754,77777949,1.4354404791855378e-28,1.4354404791855378e-28,11.025758466582353,,977252,1.4354404791855417e-28
["T2D"],"DNLZ","9",139253932,139258196,3.658953207018083e-28,3.658953207018083e-28,10.941255923923299,,856324,3.6589532070180794e-28
["T2D"],"HHEX","10",94449712,94455404,6.464119065519174e-28,6.464119065519174e-28,10.889546535315779,,672996,6.464119065519188e-28
["T2D"],"QPCTL","19",46195661,46207247,8.255195256332045e-28,8.255195256332045e-28,10.867249174769091,,1018943,8.255195256332022e-28
["T2D"],"TCF19","6",31126108,31134936,1.3048460141964644e-27,1.3048460141964644e-27,10.825388800402141,,1170116,1.3048460141964665e-27
["T2D"],"RREB1","6",7107830,7252213,3.651667957343969e-27,3.651667957343969e-27,10.730709365695379,,922503,3.651667957343981e-27
["T2D"],"CCND1","11",69455924,69469242,9.891883906775083e-27,9.891883906775083e-27,10.638236760980675,,859162,9.891883906775098e-27
["T2D"],"ANKH","5",14704909,14871887,1.284990517389622e-26,1.284990517389622e-26,10.613828424433745,,1064332,1.2849905173896197e-26
["T2D"],"HNF1A","12",121416346,121440315,1.3297417778924405e-26,1.3297417778924405e-26,10.610630489750415,,1112539,1.3297417778924428e-26
["T2D"],"CMIP","16",81478413,81745367,1.395479689081116e-26,1.395479689081116e-26,10.606121258175998,,1059191,1.3954796890811207e-26
["T2D"],"RCCD1","15",91498111,91506355,4.7181731970186126e-26,4.7181731970186126e-26,10.491652411974453,,1154860,4.7181731970186074e-26
["T2D"],"MARCH5","10",94050924,94113721,8.124440029890286e-26,8.124440029890286e-26,10.440187877804755,,949554,8.12444002989031e-26
["T2D"],"PIM3","22",50354416,50357720,1.1611670887585147e-25,1.1611670887585147e-25,10.40623158885404,,922718,1.1611670887585174e-25
["T2D"],"GCK","7",44182812,44237769,1.6493419337564746e-25,1.6493419337564746e-25,10.372756822322486,,1016952,1.6493419337564794e-25
["T2D"],"PLEKHA1","10",124134212,124191870,4.152063051631269e-25,4.152063051631269e-25,10.284185420899854,,1073784,4.152063051631272e-25
["T2D"],"CARD9","9",139258408,139268133,4.382397882811211e-25,4.382397882811211e-25,10.278982543919382,,827933,4.3823978828112075e-25
["T2D"],"ARPIN","15",90438238,90456184,4.589655239525733e-25,4.589655239525733e-25,10.274527517591817,,1034468,4.5896552395257255e-25
["T2D"],"FBXO46","19",46213887,46234154,6.917949504501326e-25,6.917949504501326e-25,10.234885330198923,,901167,6.917949504501311e-25
["T2D"],"IL17REL","22",50430240,50451194,7.176622760521861e-25,7.176622760521861e-25,10.23133132444445,,983855,7.176622760521855e-25
["T2D"],"NUCB2","11",17229700,17371527,1.4105748396456559e-24,1.4105748396456559e-24,10.165690821488289,,1027589,1.410574839645654e-24
["T2D"],"KIAA0754","1",39876151,39882154,4.2560688677852505e-24,4.2560688677852505e-24,10.057513118599271,,691588,4.256068867785253e-24
["T2D"],"TLE1","9",84198598,84304462,4.285336764340649e-24,4.285336764340649e-24,10.056838240393605,,1080728,4.285336764340652e-24
["T2D"],"SNAPC4","9",139270019,139294628,1.783394087785716e-23,1.783394087785716e-23,9.915440715574976,,1047881,1.7833940877857167e-23
["T2D"],"SNX17","2",27593363,27600402,1.890343175704972e-23,1.890343175704972e-23,9.909623376533913,,876693,1.890343175704973e-23
["T2D"],"EIF5A2","3",170606207,170626433,2.902154117517632e-23,2.902154117517632e-23,9.866699472189346,,1080369,2.9021541175176414e-23
["T2D"],"GDAP1L1","20",42875739,42909587,5.61381948551161e-23,5.61381948551161e-23,9.800277837550814,,1059684,5.613819485511597e-23
["T2D"],"NUDT5","10",12207329,12238143,7.627267661603367e-23,7.627267661603367e-23,9.769271249576734,,1006835,7.627267661603343e-23
["T2D"],"SDCCAG3","9",139296374,139305066,1.0551054578065664e-22,1.0551054578065664e-22,9.736338475369896,,939254,1.0551054578065632e-22
["T2D"],"C1orf185","1",51567893,51613758,1.3663134511679697e-22,1.3663134511679697e-22,9.710027756957615,,1009527,1.3663134511679723e-22
["T2D"],"KLHL42","12",27932981,27955973,3.301440499455436e-22,3.301440499455436e-22,9.619691634509067,,989915,3.301440499455439e-22
["T2D"],"SLC30A8","8",117962512,118188953,4.988251973615645e-22,4.988251973615645e-22,9.577144486981995,,1019093,4.988251973615647e-22
["T2D"],"NOTCH4","6",32162620,32191844,5.056902841518633e-22,5.056902841518633e-22,9.575732244841442,,1049860,5.056902841518633e-22
["T2D"],"JADE2","5",133860003,133918920,5.468871640828777e-22,5.468871640828777e-22,9.567636508414536,,1043509,5.468871640828785e-22
["T2D"],"VPS33B","15",91541903,91565833,6.785761297057285e-22,6.785761297057285e-22,9.545299241995721,,940598,6.785761297057267e-22
["T2D"],"CDKN2C","1",51426417,51440306,7.225184453089465e-22,7.225184453089465e-22,9.538793437892599,,928967,7.22518445308949e-22
["T2D"],"INPP5E","9",139323071,139334297,9.645231424587969e-22,9.645231424587969e-22,9.508783764500103,,970933,9.645231424587958e-22
["T2D"],"TNXB","6",32008930,32083111,1.9241293152798195e-21,1.9241293152798195e-21,9.4366669459154,,874246,1.9241293152798233e-21
["T2D"],"ABO","9",136108665,136151440,2.6949662766174724e-21,2.6949662766174724e-21,9.401287709552612,,1268114,2.6949662766174776e-21
["T2D"],"CPEB3","10",93806449,94050835,3.205393310885303e-21,3.205393310885303e-21,9.383022871023819,,965895,3.2053933108853086e-21
["T2D"],"AGER","6",32148745,32152099,4.075458137312317e-21,4.075458137312317e-21,9.357676772390505,,1119978,4.075458137312305e-21
["T2D"],"MTNR1B","11",92702817,92718232,4.3525771751534236e-21,4.3525771751534236e-21,9.350721869450297,,780209,4.3525771751534334e-21
["T2D"],"SEC61A2","10",12171636,12211960,4.5299098728551935e-21,4.5299098728551935e-21,9.346497514627405,,1098194,4.529909872855181e-21
["T2D"],"TH","11",2185159,2193045,4.6896994846636596e-21,4.6896994846636596e-21,9.342828855566621,,825242,4.689699484663671e-21
["T2D"],"E2F3","6",20402110,20493945,6.686559206206982e-21,6.686559206206982e-21,9.305207317393304,,938987,6.686559206207005e-21
["T2D"],"TSPAN8","12",71518865,71835678,1.1108664294997479e-20,1.1108664294997479e-20,9.251109996202693,,1046768,1.110866429499745e-20
